medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
429,,C77,,원형,갈색,
430,,VAL,YH,장방형,하양,
431,,PU,,원형,노랑,
432,,KPP,VLC,장방형,하양,
433,,WK,V1,장방형,하양,
434,,D,5,원형,하양,
435,,5MG,4760,육각형,노랑,
436,,10MG,4759,육각형,주황,
437,,DIA분할선60,DIA분할선60,타원형,하양,
438,,IDPm,,사각형,분홍,
439,,GS UHL,,장방형,하양,
440,,GS JT,,장방형,분홍,
441,,0,KW80,타원형,노랑,하양
442,,PBT2,,타원형,하양,
443,,DM40,분할선,타원형,하양,
444,,KD,TE,타원형,하양,
445,,PBT1,,타원형,하양,
446,,hw LRC,,장방형,보라,하양
447,,마크,C분할선16,원형,분홍,
448,,마크,1분할선6,원형,분홍,
449,,Hanmi Coxib200,,장방형,하양,하양
450,,마크 A1,,타원형,하양,파랑
451,,마크 A2,,타원형,하양,파랑
452,,마크 A3,,타원형,하양,파랑
453,,A15,H,원형,노랑,
454,,──────마크IDL150──────,,장방형,투명,투명
455,,──────마크IDL300──────,,장방형,투명,투명
456,,TI,마크,타원형,하양,
457,,B분할선R,FMS12,육각형,주황,
458,,B분할선R,FMS6,육각형,노랑,
459,,Q300,MI분할선MI,타원형,하양,
460,,M3,,타원형,하양,분홍
461,,M5,,타원형,하양,분홍
462,,마크,H24,원형,노랑,
463,,RP-IP,,타원형,"초록, 투명",
464,,CONTS,,타원형,갈색,
465,,ZY,50,장방형,주황,
466,,M1,분할선,타원형,하양,
467,,M2,,타원형,하양,
468,,판시딜 판시딜,,장방형,초록,노랑
469,,KDC NTC    16,,장방형,분홍,분홍
470,,KDC NTC    24,,장방형,주황,주황
471,,SC,5,원형,하양,
472,,373,,장방형,분홍,
473,,KPP,G분할선C,타원형,연두,
474,,P40,,타원형,노랑,
475,,P20,,타원형,노랑,
476,,HANA,DUO,타원형,하양,
477,,75,마크,원형,분홍,
478,,KK,TN,타원형,하양,
479,,DPC 2,분할선,원형,분홍,
480,,MK,P분할선V,원형,하양,
481,,분할선,PTS,원형,하양,
482,,마크,R,원형,노랑,
483,,십자분할선,NV,원형,하양,
484,,마크,TIN,타원형,하양,
485,,LIP,분할선,원형,하양,
486,,RPMGF,,타원형,"파랑, 투명",
487,,KD S400,,장방형,투명,
488,,IYL,,타원형,"빨강, 투명",
489,,IY SCP,,장방형,빨강,
490,,VD분할선10,마크,팔각형,하양,
491,,NVR,LCL,장방형,하양,
492,,10,F,원형,하양,
493,,S,MI,원형,하양,
494,,MM,IR,원형,하양,
495,,마크,V분할선16,타원형,주황,
496,,IDPQ,,원형,초록,
497,,MFN,HM분할선200,장방형,하양,
498,,B분할선M,K분할선1,원형,분홍,
499,,마크분할선Q,분할선,기타,파랑,
500,,IDP,분할선,원형,분홍,
501,,IDP,분할선,타원형,주황,
502,,L분할선L,,장방형,파랑,
503,,BR,4,타원형,분홍,
504,,BR,5,원형,분홍,
505,,마크,십자분할선,원형,하양,
506,,YJ,십자분할선,원형,하양,
507,,마크NVT,십자분할선,원형,하양,
508,,ΛJUNVT,십자분할선,원형,하양,
509,,KDL KDL,,장방형,초록,하양
510,,스피콜드,,장방형,"빨강, 투명",
511,,아웃 콜목,,장방형,노랑,노랑
512,,SCT,,원형,하양,
513,,ella,ella,원형,하양,
514,,OXN,5,장방형,파랑,
515,,OXN,40,장방형,노랑,
516,,MGC,,타원형,"초록, 투명",
517,,90T,,원형,노랑,
518,,TNS,,타원형,하양,
519,,TNE,,타원형,하양,
520,,V분할선T,KD,원형,분홍,
521,,GSFC2,,장방형,주황,
522,,GHF,,원형,노랑,
523,,V분할선160,UT,타원형,주황,
524,,D-W,E분할선20,타원형,하양,
525,,0,Y분할선20,타원형,하양,
526,,K분할선20,,타원형,하양,
527,,PU 25mg,,장방형,파랑,노랑
528,,BGD,,장방형,검정,
529,,브레핀s,,타원형,"청록, 투명",
530,,MMG,,타원형,"빨강, 투명",
531,,MMCL,,타원형,"갈색, 투명",
532,,V분할선A,80,원형,갈색,
533,,V분할선A,40,타원형,갈색,
534,,4분할선0,분할선,타원형,노랑,
535,,KD,VTH,장방형,분홍,
536,,K분할선D,VTH,타원형,갈색,
537,,H분할선L,V1,타원형,노랑,
538,,H분할선L,V3,타원형,주황,
539,,H분할선L,V2,원형,분홍,
540,,PA,,원형,주황,
541,,Y분할선H,V4,타원형,노랑,
542,,C분할선Y,YJP,장방형,분홍,
543,,O20,DS,원형,하양,
544,,C20,YP,원형,하양,
545,,MK,OL,원형,하양,
546,,SCD,O20,원형,하양,
547,,KPP,OMT20,원형,하양,
548,,UT,OMP,원형,주황,
549,,UT,OM10,원형,하양,
550,,UT,OM20,원형,하양,
551,,25,F,원형,주황,
552,,20,F,원형,하양,
553,,Caltrate,4D분할선600,타원형,분홍,
554,,YJ CDV,,장방형,갈색,
555,,8분할선CN,KD,원형,분홍,
556,,마크,2,원형,하양,
557,,WI,G분할선C,타원형,연두,
558,,CGP,S분할선G,타원형,연두,
559,,HS,CLD,원형,하양,
560,,Z,10,원형,노랑,
561,,KS,S,원형,하양,
562,,I분할선Y,IYAL,장방형,갈색,
563,,LCR,,원형,노랑,
564,,타이노즈,,장방형,"빨강, 투명",
565,,미리코프,,장방형,"주황, 투명",
566,,KPP,OLP,원형,주황,
567,,CKD,C15,타원형,하양,
568,,CKD,C30,타원형,하양,
569,,KJ CPLX,,장방형,빨강,빨강
570,,마크,150P,타원형,분홍,
571,,HM,IT1,타원형,하양,
572,,HM,IT2,타원형,하양,
573,,H분할선M,CZ2,원형,분홍,
574,,H분할선M,CZ1,원형,분홍,
575,,YJ,LM,원형,하양,
576,,타이푸푸,,장방형,"파랑, 투명",
577,,T4,,타원형,하양,분홍
